Name,order,SDG,target,Attachments (from SDG) (from target),Target description,Indicators,Type,Availability of data,Disaggregation level,Frequency of data,2020 Value,Remarks,SDGs interactions,SDGs interactions 2,Gaph 1,Graph 2,Graph 3,Graph 4,Graph 5,Graph 6,Graph 7,Resource Library,Multidimensional Poverty Assessment,Experts copy,Referential,I&D Indicators,LNOB Assessment copy,Social Inequalities copy,Sectoral Alignment with Targets (SAT) copy,Horizontal Policy Coherence (HPC) copy,Sustainability Accelerators Analysis (SAA) copy,Policy Intervention Analysis (PIA) Task,AllSDG-indicators,SAT-Task copy,SAT-Task copy,LPR-SI-Task,LPR-EI-Task,Africa Targets Benchmarking (ATB)
N040504,115,SDG 4,T0045,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.5 By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","Percentage of total aid to education allocated to
countries",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C040601,116,SDG 4,T0046,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.6 By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1 Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/youth-literacy-males?region=Africa,https://ourworldindata.org/grapher/youth-literacy-female?region=Africa,https://ourworldindata.org/grapher/adult-literacy-male?region=Africa,https://ourworldindata.org/grapher/adult-literacy-female?region=Africa,,,,,,"""Saka Akinade Adewumi, PhD"",""Sulleiman Adediran, PhD"",""Toun Akinsolu, PhD""",,,,,,,,,,,,,,
N040601,117,SDG 4,T0046,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.6 By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","Literacy rate (aged 15-24) by sub-region and sex
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,"""Literacy rate of 15-24 year olds, both sexes (%)""",,,,,,,,,,,,
N040602,118,SDG 4,T0046,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.6 By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",Youth / adult literacy rate ,Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040603,119,SDG 4,T0046,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.6 By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","Participation rate of illiterate youth/adults in literacy programmes
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C040701,120,SDG 4,T0046,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.6 By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.7.1 Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment",Global SDG indicator,,,,,,,,,,,,,,,,,"Biliamin Adeyeye,Philipos Petros Gile",,,,,,,,,,,,,,
N040701,121,SDG 4,T0047,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.7 By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development","Percentage of students of a given age group (or education level) showing adequate understanding of issues relating to global
citizenship and sustainability",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040702,122,SDG 4,T0047,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.7 By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development","Percentage of 15-year-old students showing proficiency in knowledge of environmental science and geoscience
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040703,123,SDG 4,T0047,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.7 By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development","Percentage of schools that provide life skills-based HIV and sexuality education
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040704,124,SDG 4,T0047,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.7 By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development","Extent to which the
framework on the World Programme on Human Rights Education is implemented nationally (as per United Nation General Assembly (UNGA) resolution 59/113)
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C040a01,125,SDG 4,T004a,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all",4.a.1 Proportion of schools with access to (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions),Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/schools-access-to-electricity,https://ourworldindata.org/grapher/schools-access-to-wash,https://ourworldindata.org/grapher/schools-access-drinking-water,https://ourworldindata.org/grapher/schools-access-computers,https://ourworldindata.org/grapher/schools-with-access-to-internet,https://ourworldindata.org/grapher/share-of-schools-with-access-tosingle-sex-basic-sanitation,https://ourworldindata.org/grapher/schools-materials-students-with-disabilities,,,"""Saka Akinade Adewumi, PhD"",""Sulleiman Adediran, PhD""",,,,,,,,,,,,,,
N040a01,126,SDG 4,T004a,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all","Percentage of schools with access to (e) basic drinking water,(f) single-sex basic
sanitation facilities; and (g) basic handwashing facilities
(as per WASH indicator
definitions)
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040a02,127,SDG 4,T004a,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all","Percentage of schools with access to (a) electricity, (b) the Internet for pedagogical purposes and (c) computers for pedagogical
purposes",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040a02,128,SDG 4,T004a,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all","Percentage of schools with (d) adapted infrastructure and materials for students with disabilities
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040a03,129,SDG 4,T004a,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all","Percentage of students
experiencing bullying,
corporal punishment,
harassment, violence, sexual discrimination and abuse",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040a04,130,SDG 4,T004a,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all","Number of attacks on
students, personnel and
institutions
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C040b01,131,SDG 4,T00 4b,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.b By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries",4.b.1 Volume of official development assistance flows for scholarships by sector and type of study,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/oda-for-scholarships?region=Africa,,,,,,,,,"Jabulani Sithole,""Toun Akinsolu, PhD""",,,,,,,,,,,,,,
N040b01,132,SDG 4,T00 4b,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.b By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","Number of higher education scholarships awarded by beneficiary country
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C040c01,133,SDG 4,T004c,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.c By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States",4.c.1 Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/percentage-of-teachers-in-pre-primary-education-who-are-qualified?region=Africa,https://ourworldindata.org/grapher/percentage-of-teachers-in-primary-education-who-are-qualified?region=Africa,https://ourworldindata.org/grapher/percentage-of-teachers-in-lower-secondary-education-who-are-qualified?region=Africa,https://ourworldindata.org/grapher/percentage-of-teachers-in-upper-secondary-education-who-are-qualified,,,,,Education,"Biliamin Adeyeye,""Saka Akinade Adewumi, PhD""",,,,,,,,,,,,,,
N040c01,134,SDG 4,T004c,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.c By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States",Pupil-qualified teacher ratio by education level,Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040c02,135,SDG 4,T004c,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.c By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States","Average teacher salary
relative to other professions requiring a comparable level of education qualification
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040c03,136,SDG 4,T004c,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.c By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States","Teacher attrition rate by
education level",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N040c04,137,SDG 4,T004c,SDG4.png (https://dl.airtable.com/.attachments/2987b60d74929c4d30a9feb626d3e513/36d9533b/SDG4.png),"4.c By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States",Percentage of teachers who received in-service training in the last 12 months by type of training,Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
